Год,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Янв,28.93,20.71,18.96,14.29,11.28,12.70,10.71,8.20,12.56,13.35,8.02,9.56,4.16,7.07,6.05,14.97,9.77,5.02,2.21,5.00,2.42,5.19,8.74,11.76
Фев,25.11,22.19,17.66,14.82,10.58,12.96,11.18,7.61,12.66,13.85,7.18,9.47,3.74,7.28,6.20,16.71,8.06,4.59,2.20,5.24,2.31,5.67,9.16,10.97
Мар,22.49,23.67,16.76,14.78,10.25,13.63,10.61,7.37,13.35,13.98,6.46,9.46,3.70,7.02,6.92,16.93,7.26,4.25,2.36,5.27,2.55,5.78,16.70,3.51
Апр,19.95,24.77,16.04,14.62,10.22,13.77,9.77,7.60,14.30,13.16,6.04,9.61,3.57,7.23,7.33,16.42,7.24,4.13,2.41,5.17,3.10,5.52,17.83,2.30
Май,19.40,24.81,15.94,13.62,10.15,13.84,9.42,7.76,15.12,12.28,5.97,9.59,3.61,7.38,7.59,15.78,7.30,4.09,2.42,5.13,3.03,6.01,17.11,2.50
Июн,20.15,23.68,14.69,13.93,10.13,13.68,9.03,8.48,15.14,11.87,5.74,9.42,4.30,6.88,7.80,15.29,7.48,4.35,2.30,4.66,3.21,6.51,15.90,3.24
Июл,18.94,22.05,15.00,13.91,10.36,13.16,9.26,8.70,14.73,12.01,5.46,9.01,5.59,6.45,7.45,15.64,7.21,3.86,2.50,4.59,3.37,6.47,15.09,4.30
Авг,18.73,20.88,15.09,13.35,11.28,12.53,9.62,8.59,15.04,11.60,6.04,8.16,5.95,6.49,7.56,15.77,6.84,3.29,3.07,4.33,3.57,6.69,14.30,5.13
Сен,18.54,20.02,14.86,13.28,11.38,12.33,9.44,9.35,15.05,10.69,6.96,7.21,6.58,6.13,8.03,15.68,6.42,2.96,3.39,3.99,3.67,7.41,13.67,6.00
Окт,19.41,18.82,14.84,13.20,11.53,11.68,9.15,10.83,14.23,9.69,7.50,7.19,6.55,6.25,8.30,15.59,6.09,2.73,3.55,3.77,3.98,8.14,12.63,6.68
Ноя,19.75,18.63,15.12,12.48,11.70,11.27,9.03,11.49,13.78,9.10,8.06,6.78,6.47,6.48,9.07,14.98,5.76,2.50,3.83,3.54,4.42,8.40,11.97,7.47
Дек,20.20,18.58,15.06,11.99,11.74,10.91,9.00,11.87,13.28,8.80,8.78,6.10,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.92,7.42
Всего,20.20,18.58,15.06,11.99,11.74,10.91,9.00,11.87,13.28,8.80,8.78,6.10,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.92,7.42
